147,188.266,348,Object 0 IMAG001.BMP
145,189.565,379,Object 1 IMAG001.BMP
265,179.089,406,Object 0 IMAG002.BMP
155,188.265,365,Object 1 IMAG002.BMP
153,173.22,324,Object 0 IMAG003.BMP
195,169.124,1069,Object 1 IMAG003.BMP
159,163.414,332,Object 0 IMAG004.BMP
119,42.1461,678,Object 1 IMAG004.BMP
121,23.8205,679,Object 0 IMAG005.BMP
119,51.3104,649,Object 1 IMAG005.BMP
119,52.0663,628,Object 0 IMAG006.BMP
197,171.604,1095,Object 1 IMAG006.BMP
239,186.24,591,Object 0 IMAG007.BMP
265,193.71,455,Object 1 IMAG007.BMP
229,186.852,581,Object 0 IMAG008.BMP
121,41.8557,671,Object 1 IMAG008.BMP
247,177.427,408,Object 0 IMAG009.BMP
253,177.317,434,Object 1 IMAG009.BMP
221,185.836,570,Object 0 IMAG010.BMP
309,193.402,563,Object 1 IMAG010.BMP
139,159.491,348,Object 0 IMAG011.BMP
159,194.011,369,Object 1 IMAG011.BMP
149,189.151,395,Object 2 IMAG011.BMP
139,159.518,348,Object 0 IMAG012.BMP
259,193.492,457,Object 1 IMAG012.BMP
149,189.06,394,Object 2 IMAG012.BMP
141,159.007,343,Object 0 IMAG013.BMP
175,159.536,1029,Object 1 IMAG013.BMP
161,196.444,423,Object 2 IMAG013.BMP
141,162.898,356,Object 0 IMAG014.BMP
297,191.645,532,Object 1 IMAG014.BMP
149,194.476,414,Object 2 IMAG014.BMP
147,163.495,354,Object 0 IMAG015.BMP
297,191.503,515,Object 1 IMAG015.BMP
121,35.6354,677,Object 2 IMAG015.BMP
145,166.866,351,Object 0 IMAG016.BMP
305,191.794,519,Object 1 IMAG016.BMP
319,155.026,400,Object 2 IMAG016.BMP
115,45.0161,630,Object 0 IMAG017.BMP
299,191.388,517,Object 1 IMAG017.BMP
317,141.47,419,Object 2 IMAG017.BMP
179,174.229,973,Object 0 IMAG018.BMP
299,191.93,518,Object 1 IMAG018.BMP
315,142.045,419,Object 2 IMAG018.BMP
251,181.503,427,Object 0 IMAG019.BMP
173,170.45,928,Object 1 IMAG019.BMP
297,140.662,404,Object 2 IMAG019.BMP
281,181.613,436,Object 0 IMAG020.BMP
311,105.027,532,Object 1 IMAG020.BMP
313,166.418,547,Object 2 IMAG020.BMP
117,63.5171,637,Object 0 IMAG021.BMP
193,157.684,1080,Object 1 IMAG021.BMP
121,38.8483,664,Object 2 IMAG021.BMP
147,189.07,366,Object 0 IMAG022.BMP
177,174.841,1029,Object 1 IMAG022.BMP
151,196.332,403,Object 2 IMAG022.BMP
159,196.951,344,Object 3 IMAG022.BMP
209,192.54,500,Object 0 IMAG023.BMP
167,171.414,967,Object 1 IMAG023.BMP
157,196.396,400,Object 2 IMAG023.BMP
175,189.407,330,Object 3 IMAG023.BMP
257,192.519,436,Object 0 IMAG024.BMP
171,151.737,973,Object 1 IMAG024.BMP
155,196.241,407,Object 2 IMAG024.BMP
261,186.834,489,Object 3 IMAG024.BMP
259,192.508,440,Object 0 IMAG025.BMP
171,151.736,978,Object 1 IMAG025.BMP
121,34.7107,675,Object 2 IMAG025.BMP
123,30.2822,706,Object 3 IMAG025.BMP
299,183.454,502,Object 0 IMAG026.BMP
173,151.76,971,Object 1 IMAG026.BMP
123,16.0494,691,Object 2 IMAG026.BMP
139,191.834,398,Object 3 IMAG026.BMP
297,182.797,504,Object 0 IMAG027.BMP
177,151.328,967,Object 1 IMAG027.BMP
211,191.696,513,Object 2 IMAG027.BMP
305,166.448,542,Object 3 IMAG027.BMP
183,172.696,991,Object 0 IMAG028.BMP
299,189.702,512,Object 1 IMAG028.BMP
187,131.825,1062,Object 2 IMAG028.BMP
193,147.674,1114,Object 3 IMAG028.BMP
183,172.754,997,Object 0 IMAG029.BMP
189,168.866,1024,Object 1 IMAG029.BMP
199,158.071,1075,Object 2 IMAG029.BMP
189,138.3,1061,Object 3 IMAG029.BMP
289,193.933,508,Object 0 IMAG030.BMP
291,193.302,420,Object 1 IMAG030.BMP
291,193.677,459,Object 2 IMAG030.BMP
267,184.21,473,Object 3 IMAG030.BMP
289,194.026,484,Object 0 IMAG031.BMP
289,193.145,420,Object 1 IMAG031.BMP
161,196.595,422,Object 2 IMAG031.BMP
249,181.353,493,Object 3 IMAG031.BMP
289,194.105,478,Object 0 IMAG032.BMP
291,193.284,413,Object 1 IMAG032.BMP
159,196.637,415,Object 2 IMAG032.BMP
185,145.569,1109,Object 3 IMAG032.BMP
291,193.945,499,Object 0 IMAG033.BMP
171,196.419,423,Object 1 IMAG033.BMP
285,184.031,495,Object 2 IMAG033.BMP
245,190.27,454,Object 3 IMAG033.BMP
193,152.469,1078,Object 4 IMAG033.BMP
113,72.4273,595,Object 0 IMAG034.BMP
119,44.0601,668,Object 1 IMAG034.BMP
117,21.6305,666,Object 2 IMAG034.BMP
119,50.7571,647,Object 3 IMAG034.BMP
111,71.4228,582,Object 0 IMAG035.BMP
161,165.002,373,Object 1 IMAG035.BMP
117,51.2974,644,Object 2 IMAG035.BMP
121,51.7506,659,Object 3 IMAG035.BMP
115,67.6217,583,Object 0 IMAG036.BMP
305,192.887,451,Object 1 IMAG036.BMP
117,54.8692,652,Object 2 IMAG036.BMP
121,52.472,660,Object 3 IMAG036.BMP
115,59.6821,587,Object 0 IMAG037.BMP
309,193.021,456,Object 1 IMAG037.BMP
121,38.1491,657,Object 2 IMAG037.BMP
193,164.938,1073,Object 3 IMAG037.BMP
201,171.613,575,Object 0 IMAG038.BMP
301,192.991,457,Object 1 IMAG038.BMP
239,189.223,461,Object 2 IMAG038.BMP
297,190.939,522,Object 3 IMAG038.BMP
147,195.843,348,Object 0 IMAG039.BMP
145,195.539,412,Object 1 IMAG039.BMP
229,187.096,595,Object 2 IMAG039.BMP
249,177.649,447,Object 3 IMAG039.BMP
155,196.13,439,Object 4 IMAG039.BMP
145,195.766,348,Object 0 IMAG040.BMP
145,195.569,415,Object 1 IMAG040.BMP
229,186.906,598,Object 2 IMAG040.BMP
309,175.075,540,Object 3 IMAG040.BMP
155,196.029,442,Object 4 IMAG040.BMP
145,194.858,326,Object 0 IMAG041.BMP
115,58.6428,615,Object 1 IMAG041.BMP
121,42.1819,682,Object 2 IMAG041.BMP
121,43.7864,683,Object 3 IMAG041.BMP
149,193.276,412,Object 4 IMAG041.BMP
177,157.136,940,Object 0 IMAG042.BMP
111,69.3371,595,Object 1 IMAG042.BMP
119,36.1085,671,Object 2 IMAG042.BMP
121,46.0931,693,Object 3 IMAG042.BMP
151,190.268,403,Object 4 IMAG042.BMP
177,156.155,938,Object 0 IMAG043.BMP
111,81.0932,578,Object 1 IMAG043.BMP
289,157.789,462,Object 2 IMAG043.BMP
293,194.012,439,Object 3 IMAG043.BMP
155,190.399,407,Object 4 IMAG043.BMP
115,60.983,605,Object 0 IMAG044.BMP
115,65.0945,613,Object 1 IMAG044.BMP
123,34.6574,664,Object 2 IMAG044.BMP
121,40.1306,680,Object 3 IMAG044.BMP
121,33.0875,656,Object 4 IMAG044.BMP
171,175.882,960,Object 0 IMAG045.BMP
193,169.919,1009,Object 1 IMAG045.BMP
183,156.051,930,Object 2 IMAG045.BMP
189,175.028,1049,Object 3 IMAG045.BMP
177,161.133,1047,Object 4 IMAG045.BMP
169,173.762,961,Object 0 IMAG046.BMP
203,178.569,495,Object 1 IMAG046.BMP
315,102.408,533,Object 2 IMAG046.BMP
299,182.898,501,Object 3 IMAG046.BMP
193,170.782,1051,Object 4 IMAG046.BMP
157,195.437,372,Object 0 IMAG047.BMP
201,178.569,508,Object 1 IMAG047.BMP
165,189.705,351,Object 2 IMAG047.BMP
193,175.799,1041,Object 3 IMAG047.BMP
301,182.908,525,Object 4 IMAG047.BMP
157,180.404,377,Object 0 IMAG048.BMP
151,195.483,423,Object 1 IMAG048.BMP
191,170.505,1038,Object 2 IMAG048.BMP
123,24.8224,689,Object 3 IMAG048.BMP
271,191.857,400,Object 4 IMAG048.BMP
189,149.633,977,Object 0 IMAG049.BMP
153,158.243,380,Object 1 IMAG049.BMP
233,178.416,419,Object 2 IMAG049.BMP
309,183.161,546,Object 3 IMAG049.BMP
261,176.354,433,Object 4 IMAG049.BMP
195,157.242,999,Object 0 IMAG050.BMP
149,195.191,401,Object 1 IMAG050.BMP
289,180.341,503,Object 2 IMAG050.BMP
123,36.7075,683,Object 3 IMAG050.BMP
173,187.219,362,Object 4 IMAG050.BMP
117,46.7384,630,Object 0 IMAG051.BMP
115,62.9053,622,Object 1 IMAG051.BMP
215,184.667,551,Object 2 IMAG051.BMP
123,42.579,687,Object 3 IMAG051.BMP
119,44.4146,642,Object 4 IMAG051.BMP
125,39.8008,722,Object 5 IMAG051.BMP
115,51.4678,622,Object 0 IMAG052.BMP
115,53.9989,618,Object 1 IMAG052.BMP
217,185.399,524,Object 2 IMAG052.BMP
191,191.704,363,Object 3 IMAG052.BMP
119,50.8228,641,Object 4 IMAG052.BMP
125,31.9668,716,Object 5 IMAG052.BMP
115,49.257,622,Object 0 IMAG053.BMP
115,50.6705,619,Object 1 IMAG053.BMP
299,185.599,530,Object 2 IMAG053.BMP
191,189.189,386,Object 3 IMAG053.BMP
277,192.415,412,Object 4 IMAG053.BMP
125,42.4979,721,Object 5 IMAG053.BMP
119,45.1301,625,Object 0 IMAG054.BMP
141,190.432,389,Object 1 IMAG054.BMP
301,184.93,540,Object 2 IMAG054.BMP
157,189.174,401,Object 3 IMAG054.BMP
281,192.474,425,Object 4 IMAG054.BMP
125,50.664,720,Object 5 IMAG054.BMP
117,54.9249,636,Object 0 IMAG055.BMP
149,190.175,393,Object 1 IMAG055.BMP
211,184.889,543,Object 2 IMAG055.BMP
151,189.394,401,Object 3 IMAG055.BMP
141,192.991,344,Object 4 IMAG055.BMP
125,44.8577,725,Object 5 IMAG055.BMP
281,170.246,505,Object 0 IMAG056.BMP
133,190.68,379,Object 1 IMAG056.BMP
213,184.731,540,Object 2 IMAG056.BMP
167,189.837,385,Object 3 IMAG056.BMP
151,192.692,345,Object 4 IMAG056.BMP
125,40.8346,721,Object 5 IMAG056.BMP
279,170.519,510,Object 0 IMAG057.BMP
141,190.204,390,Object 1 IMAG057.BMP
271,193.943,481,Object 2 IMAG057.BMP
139,189.547,399,Object 3 IMAG057.BMP
139,192.852,342,Object 4 IMAG057.BMP
125,49.4448,720,Object 5 IMAG057.BMP
283,170.521,509,Object 0 IMAG058.BMP
135,190.528,390,Object 1 IMAG058.BMP
273,175.928,497,Object 2 IMAG058.BMP
145,189.62,393,Object 3 IMAG058.BMP
289,152.725,472,Object 4 IMAG058.BMP
139,192.682,350,Object 5 IMAG058.BMP
145,190.605,387,Object 0 IMAG059.BMP
149,190.51,401,Object 1 IMAG059.BMP
247,179.262,503,Object 2 IMAG059.BMP
245,182.984,467,Object 3 IMAG059.BMP
313,134.488,508,Object 4 IMAG059.BMP
137,192.771,360,Object 5 IMAG059.BMP
133,190.017,374,Object 0 IMAG060.BMP
145,191.162,386,Object 1 IMAG060.BMP
119,33.3083,658,Object 2 IMAG060.BMP
197,173.31,1083,Object 3 IMAG060.BMP
121,60.7218,664,Object 4 IMAG060.BMP
129,189.051,337,Object 5 IMAG060.BMP
135,191.148,380,Object 0 IMAG061.BMP
141,194.096,394,Object 1 IMAG061.BMP
189,177.418,1043,Object 2 IMAG061.BMP
123,60.3361,676,Object 3 IMAG061.BMP
197,172.708,1077,Object 4 IMAG061.BMP
131,189.143,326,Object 5 IMAG061.BMP
133,192.581,378,Object 0 IMAG062.BMP
191,174.763,1025,Object 1 IMAG062.BMP
161,179.836,382,Object 2 IMAG062.BMP
197,169.981,1050,Object 3 IMAG062.BMP
201,173.917,1080,Object 4 IMAG062.BMP
127,189.057,319,Object 5 IMAG062.BMP
287,190.379,408,Object 0 IMAG063.BMP
135,193.131,355,Object 1 IMAG063.BMP
191,174.876,1031,Object 2 IMAG063.BMP
195,169.855,1038,Object 3 IMAG063.BMP
195,174.592,1079,Object 4 IMAG063.BMP
129,189.146,328,Object 5 IMAG063.BMP
245,178.771,385,Object 0 IMAG064.BMP
141,193.062,354,Object 1 IMAG064.BMP
191,175.078,1028,Object 2 IMAG064.BMP
285,193.29,390,Object 3 IMAG064.BMP
195,174.831,1079,Object 4 IMAG064.BMP
127,189.461,343,Object 5 IMAG064.BMP
293,184.92,541,Object 0 IMAG065.BMP
117,40.7438,634,Object 1 IMAG065.BMP
191,174.405,1029,Object 2 IMAG065.BMP
305,191.213,515,Object 3 IMAG065.BMP
199,173.92,1074,Object 4 IMAG065.BMP
127,189.215,330,Object 5 IMAG065.BMP
117,34.4736,635,Object 0 IMAG066.BMP
177,170.713,911,Object 1 IMAG066.BMP
119,35.7606,660,Object 2 IMAG066.BMP
303,191.033,525,Object 3 IMAG066.BMP
201,174.631,1086,Object 4 IMAG066.BMP
123,189.047,328,Object 5 IMAG066.BMP
171,166.507,891,Object 0 IMAG067.BMP
297,162.444,427,Object 1 IMAG067.BMP
117,44.9841,641,Object 2 IMAG067.BMP
193,168.562,988,Object 3 IMAG067.BMP
301,190.973,535,Object 4 IMAG067.BMP
311,194.018,468,Object 5 IMAG067.BMP
181,183.149,302,Object 6 IMAG067.BMP
169,169.89,924,Object 0 IMAG068.BMP
299,163.276,445,Object 1 IMAG068.BMP
113,52.8289,620,Object 2 IMAG068.BMP
297,194.243,473,Object 3 IMAG068.BMP
277,193.867,425,Object 4 IMAG068.BMP
307,194.061,475,Object 5 IMAG068.BMP
145,183.338,322,Object 6 IMAG068.BMP
293,194.946,442,Object 0 IMAG069.BMP
163,171.656,935,Object 1 IMAG069.BMP
169,195.95,331,Object 2 IMAG069.BMP
293,194.129,457,Object 3 IMAG069.BMP
281,193.401,431,Object 4 IMAG069.BMP
301,167.272,576,Object 5 IMAG069.BMP
245,190.617,455,Object 6 IMAG069.BMP
287,195.097,418,Object 0 IMAG070.BMP
167,171.346,913,Object 1 IMAG070.BMP
117,33.9632,638,Object 2 IMAG070.BMP
119,44.9232,652,Object 3 IMAG070.BMP
281,193.686,414,Object 4 IMAG070.BMP
293,156.227,444,Object 5 IMAG070.BMP
249,190.609,439,Object 6 IMAG070.BMP
289,194.912,452,Object 0 IMAG071.BMP
163,171.957,933,Object 1 IMAG071.BMP
117,47.4305,647,Object 2 IMAG071.BMP
119,35.6687,661,Object 3 IMAG071.BMP
281,193.392,427,Object 4 IMAG071.BMP
271,168.927,808,Object 5 IMAG071.BMP
191,140.339,1096,Object 6 IMAG071.BMP
169,171.969,955,Object 0 IMAG072.BMP
163,171.729,920,Object 1 IMAG072.BMP
117,37.3128,643,Object 2 IMAG072.BMP
119,33.2589,663,Object 3 IMAG072.BMP
281,193.74,416,Object 4 IMAG072.BMP
271,168.284,807,Object 5 IMAG072.BMP
191,140.687,1091,Object 6 IMAG072.BMP
117,49.9115,613,Object 0 IMAG073.BMP
165,172.48,916,Object 1 IMAG073.BMP
189,136.719,987,Object 2 IMAG073.BMP
119,43.3773,656,Object 3 IMAG073.BMP
289,106.163,662,Object 4 IMAG073.BMP
123,52.6156,673,Object 5 IMAG073.BMP
179,167.204,1100,Object 6 IMAG073.BMP
115,49.369,608,Object 0 IMAG074.BMP
183,139.684,979,Object 1 IMAG074.BMP
165,173.127,904,Object 2 IMAG074.BMP
119,44.4698,663,Object 3 IMAG074.BMP
193,171.324,1017,Object 4 IMAG074.BMP
191,156.335,916,Object 5 IMAG074.BMP
179,167.134,1095,Object 6 IMAG074.BMP
207,142.543,486,Object 0 IMAG075.BMP
117,59.2268,612,Object 1 IMAG075.BMP
169,173.857,915,Object 2 IMAG075.BMP
119,49.8746,658,Object 3 IMAG075.BMP
191,172.637,1012,Object 4 IMAG075.BMP
189,162.699,927,Object 5 IMAG075.BMP
179,167.111,1098,Object 6 IMAG075.BMP
207,140.606,492,Object 0 IMAG076.BMP
